keyword,pattern,implementation,anti_pattern,notes,priority
apple-colors,Tailwind Apple color config,colors: { apple: { text: '#1d1d1f' 'text-secondary': '#86868b' bg: '#fbfbfd' blue: '#2997ff' } } in tailwind.config,Using Tailwind's default gray palette for Apple UI,Named semantic colors matching Apple's exact palette,critical
spacing-scale,Spacing scale in tailwind.config,extend: { spacing: { '18': '4.5rem' '22': '5.5rem' '26': '6.5rem' } } plus default 4/8/16/24/48px,Random arbitrary spacing values in every class,Consistent spacing scale matching Apple's 8pt grid,high
font-stack,-apple-system font stack,fontFamily: { sans: ['-apple-system' 'BlinkMacSystemFont' 'Inter' 'system-ui' 'sans-serif'] } in tailwind.config,fontFamily: { sans: ['Arial' 'sans-serif'] },SF Pro on Apple hardware; Inter elsewhere,critical
backdrop-blur,backdrop-blur-xl for nav,class="backdrop-blur-xl bg-white/70 saturate-180",class="bg-white" opaque nav bar,Requires backdrop-filter support; matches Apple's frosted glass,critical
rounded-xl,rounded-xl with overflow-hidden,class="rounded-2xl overflow-hidden" (16px) or rounded-3xl (24px) on cards,class="rounded" (4px) on cards and panels,Continuous corner approximation with Tailwind's largest presets,high
touch-targets,min-h-[44px] touch targets,class="min-h-[44px] min-w-[44px] flex items-center justify-center" on buttons,class="p-1" icon-only buttons without size guarantee,Meets Apple HIG 44pt minimum interactive target,critical
transitions,transition-all duration-300,class="transition-all duration-300 ease-[cubic-bezier(0.25,0.1,0.25,1)]",class="transition duration-150 ease-in-out",Apple's default easing curve via arbitrary ease value,high
dark-mode,dark: prefix for dark mode,class="bg-[#fbfbfd] dark:bg-black text-[#1d1d1f] dark:text-[#f5f5f7]",Separate dark mode stylesheets or JS toggling,Tailwind's built-in dark: variant tied to prefers-color-scheme,critical
max-width,max-w-[980px] for content,class="max-w-[980px] mx-auto px-4",class="w-full" without max-width on text content,Apple constrains readable content width; arbitrary value needed,high
section-padding,py-20 to py-32 for sections,class="py-24 md:py-32" on section elements,class="py-8" tight section padding,Apple's generous vertical rhythm between content blocks,high
body-text,text-[17px] leading-[1.47] for body,class="text-[17px] leading-[1.47]",class="text-base leading-relaxed" (16px/1.625),Exact iOS body text size match for web Apple content,critical
headline-tracking,tracking-tight for headlines,class="tracking-tight" (-0.025em) or tracking-[-0.04em] on large display text,class="tracking-normal" on hero text,Tight tracking is the signature Apple display text treatment,high
apple-bg,bg-[#fbfbfd] text-[#1d1d1f],class="bg-[#fbfbfd] text-[#1d1d1f]",class="bg-white text-black",Apple's warm off-white and near-black avoid pure contrast extremes,critical
shadows,shadow-sm/shadow-md/shadow-lg,class="shadow-sm" for cards; class="shadow-lg" for elevated modals,No shadow or box-shadow: 0 0 10px rgba(0 0 0 0.5),Tailwind's shadow scale maps well to Apple elevation system,medium
grid-layout,grid and flex utilities,class="grid grid-cols-1 md:grid-cols-3 gap-6" for feature grids,table-based or float-based layout,CSS Grid with gap matches Apple's feature grid layouts,high
motion-safe,motion-safe/motion-reduce,class="motion-safe:translate-y-4 motion-safe:opacity-0 motion-safe:transition-all",Animations without reduced-motion handling,Respects iOS Reduce Motion accessibility preference,critical
hero-text,Large hero text,class="text-[80px] font-bold tracking-[-0.004em] leading-none md:text-[96px]",class="text-4xl" for hero,Apple's oversized bold hero requires arbitrary sizes above Tailwind's defaults,high
blur-nav,Frosted navigation bar,class="fixed top-0 inset-x-0 z-50 backdrop-blur-xl bg-white/70 border-b border-black/5",class="fixed top-0 bg-white" fully opaque nav,Complete Apple nav pattern with blur and subtle border,critical
cta-link,Text link CTA style,class="text-[#2997ff] text-xl font-normal no-underline hover:underline",class="btn bg-blue-600 text-white px-6 py-3 rounded" button CTA,Apple uses styled text links not button CTAs for primary actions,medium
secondary-text,Secondary text color,class="text-[#86868b]",class="text-gray-500" (Tailwind's #6b7280),Apple's secondary is warmer/lighter than Tailwind gray-500,high
gpu-transform,GPU-accelerated animation only,class="transition-transform transition-opacity" avoiding width/height animation,class="transition-all" animating layout properties,Only transform and opacity composited on GPU; avoids layout thrash,high
object-fit,Product image treatment,class="w-full h-full object-cover object-center",class="max-w-full h-auto" for hero product images,Full-bleed product images match Apple's marketing presentation,medium
container-px,Responsive container padding,class="container mx-auto px-4 sm:px-6 lg:px-8",class="container mx-auto" without horizontal padding,Consistent horizontal margins across breakpoints,high
aspect-ratio,Aspect ratio for media,class="aspect-video" or class="aspect-square" on image containers,Padding-top hack for aspect ratio,Native CSS aspect-ratio via Tailwind; avoids reflow,medium
ring-focus,Focus ring styling,class="focus-visible:ring-2 focus-visible:ring-[#2997ff] focus-visible:outline-none",outline: none without replacement,Keyboard-accessible focus indicator using Apple's blue,high
