keyword,pattern,implementation,anti_pattern,notes,priority
runes-state,$state and $derived runes for reactive Apple tokens,"<script> let isDark = $state(false); let bgColor = $derived(isDark ? '#000000' : '#fbfbfd'); let textColor = $derived(isDark ? '#f5f5f7' : '#1d1d1f'); </script>",Svelte 4 stores for simple local reactive state in Svelte 5 components,Runes are Svelte 5's compile-time reactive primitives with zero overhead,critical
css-variables,CSS custom properties for Apple design tokens,"<style> :global(:root) { --color-text-primary: #1d1d1f; --color-text-secondary: #86868b; --color-bg: #fbfbfd; --color-blue: #2997ff; --space-xs: 4px; --space-sm: 8px; --space-md: 16px; --space-lg: 24px; --space-xl: 48px; } </style>",Hardcoded pixel values in component styles,Global CSS token definitions in root layout give a single source of truth,critical
transition-spring,transition:spring for physics-based animations,"<script> import { spring } from 'svelte/motion'; </script> <div transition:fly={{ y: 20 duration: 450 easing: cubicOut }}>content</div> // Or with spring store: const pos = spring({ y: 0 } { stiffness: 0.3 damping: 0.8 });",CSS ease-in-out for interactive element transitions,Svelte's spring primitive matches UIKit's spring physics for natural motion feel,critical
animate-flip,animate:flip for list reordering with spring physics,"<script> import { flip } from 'svelte/animate'; </script> {#each items as item (item.id)} <div animate:flip={{ duration: 400 easing: cubicOut }}>{item.name}</div> {/each}",Abrupt DOM reordering without animated transitions,flip calculates FLIP animation automatically matching UIKit animated data source updates,high
progressive-disclosure,{#if} blocks for progressive disclosure patterns,"{#if showDetails} <div class='details' transition:slide={{ duration: 300 }}> {@render details()} </div> {/if} <button onclick={() => showDetails = !showDetails}>{ showDetails ? 'Less' : 'More' }</button>",Showing all content at once or using CSS visibility hacks,Mirrors Apple's progressive disclosure pattern hiding complexity behind user-initiated reveals,high
use-intersect,use:action for intersection observer scroll reveals,"function intersect(node onEnter) { const obs = new IntersectionObserver(([e]) => { if (e.isIntersecting) { onEnter(node); obs.disconnect(); } } { threshold: 0.1 }); obs.observe(node); return { destroy() { obs.disconnect(); } }; } // Usage: <section use:intersect={reveal}>",Scroll event listener for visibility detection,Actions keep DOM logic encapsulated and reusable matching Apple's component model,medium
svelte-window,svelte:window for system theme detection,"<svelte:window on:change={handleMediaChange} /> <script> import { browser } from '$app/environment'; let isDark = $state(browser && matchMedia('(prefers-color-scheme: dark)').matches); if (browser) { matchMedia('(prefers-color-scheme: dark)').addEventListener('change' e => { isDark = e.matches; }); } </script>",Polling document for theme or JS-only toggle,Reactive OS-level dark mode detection without polling or flicker,critical
effect-dark-mode,$effect for dark mode class toggling,"$effect(() => { document.documentElement.classList.toggle('dark' isDark); document.documentElement.setAttribute('data-theme' isDark ? 'dark' : 'light'); });",Manually calling DOM methods outside reactive context,Svelte $effect runs after state changes keeping DOM in sync with reactive dark mode state,critical
component-hierarchy,Component composition matching Apple component hierarchy,"<!-- Page.svelte --> <Header /> <main> <HeroSection /> <FeatureGrid {features} /> <CTASection /> </main> <Footer /> <!-- Each section is a self-contained Svelte component -->",Single monolithic page component with all markup inline,Mirroring Apple's view hierarchy keeps each component focused and testable,high
font-stack,-apple-system font stack in app.css,"body { font-family: -apple-system BlinkMacSystemFont 'Inter' 'Segoe UI' system-ui sans-serif; -webkit-font-smoothing: antialiased; -moz-osx-font-smoothing: grayscale; }",Component-scoped font-family overrides,Global font stack in app.css ensures consistent SF Pro / Inter rendering across all routes,critical
backdrop-filter,Backdrop-filter in Nav component,"<nav class='nav'> <slot /> </nav> <style> .nav { backdrop-filter: saturate(180%) blur(20px); background: rgba(255 255 255 / 0.72); border-bottom: 1px solid rgba(0 0 0 / 0.1); position: sticky; top: 0; z-index: 100; } </style>",Opaque solid background on sticky navigation,Apple's frosted glass nav signature across all platforms,critical
spacing-scale,Apple spacing scale as Svelte CSS variables,":global(:root) { --space-xs: 4px; --space-sm: 8px; --space-md: 16px; --space-lg: 24px; --space-xl: 32px; --space-2xl: 48px; }",Arbitrary margin values inside each component,8pt-based spacing scale ensures visual rhythm matching Apple's grid,high
touch-targets,44px minimum touch targets,"button a [role='button'] { min-height: 44px; min-width: 44px; touch-action: manipulation; display: inline-flex; align-items: center; justify-content: center; }",Small icon buttons without padding,Meets Apple HIG tap target minimum; touch-action removes 300ms click delay,critical
reduced-motion,prefers-reduced-motion in Svelte transitions,"<script> import { prefersReducedMotion } from '$lib/utils'; const duration = prefersReducedMotion ? 0 : 450; </script> <div transition:fly={{ y: 20 duration }}>",No animation preference handling,Respects iOS Reduce Motion for users with motion sensitivity,critical
sveltekit-layout,SvelteKit layout for consistent Apple nav/footer,"<!-- src/routes/+layout.svelte --> <script> import TheHeader from '$lib/TheHeader.svelte'; import TheFooter from '$lib/TheFooter.svelte'; </script> <TheHeader /> <slot /> <TheFooter />",Repeating header/footer in every route component,Root layout persists between navigations without remounting matching Apple nav persistence,critical
loading-skeleton,SvelteKit loading with Apple skeleton pattern,"<!-- +loading.svelte --> <div class='skeleton-hero animate-pulse'></div> <div class='skeleton-grid'> {#each { length: 6 } as _} <div class='skeleton-card'></div> {/each} </div>",Spinner-only or no loading state,Content silhouettes at correct dimensions prevent layout shift matching Apple's skeleton pattern,high
form-actions,SvelteKit form actions for Apple-style form handling,"<!-- +page.server.ts --> export const actions = { default: async ({ request }) => { const data = await request.formData(); // process... return { success: true }; } }; <!-- +page.svelte --> <form method='POST' use:enhance>",Client-side fetch in onMount for form submission,Progressive enhancement via form actions works without JS matching Apple's reliability standard,high
bind-focus,bind:this for focus management and accessibility,"<script> let dialogEl = $state(); function openDialog() { showDialog = true; tick().then(() => dialogEl?.focus()); } </script> <dialog bind:this={dialogEl} role='dialog'>",No programmatic focus management on modal open,Correct focus management required for VoiceOver and keyboard accessibility,high
spring-store,Spring store from svelte/motion for interactive animations,"<script> import { spring } from 'svelte/motion'; const scale = spring(1 { stiffness: 0.4 damping: 0.7 }); </script> <button onmouseenter={() => $scale = 1.05} onmouseleave={() => $scale = 1} style='transform: scale({$scale})'>",CSS transform with ease-in-out on hover,Spring store gives physically plausible hover animations matching UIKit spring behavior,high
tweened-store,Tweened store for smooth value transitions,"<script> import { tweened } from 'svelte/motion'; import { cubicOut } from 'svelte/easing'; const progress = tweened(0 { duration: 600 easing: cubicOut }); </script> <progress value={$progress} max={100} />",Abrupt value jumps in progress indicators or counters,Tweened values animate smoothly without manual requestAnimationFrame matching Apple's polished feel,medium
