keyword,pattern,implementation,anti_pattern,notes,priority
astro-islands,Astro islands for interactive Apple components,"<!-- HeroCarousel.astro --> <HeroCarousel client:visible /> <!-- client:load — interactive immediately --> <!-- client:idle — after main thread is free --> <!-- client:visible — when entering viewport --> <!-- client:media='(max-width: 768px)' — conditionally -->",Loading all interactive components eagerly with client:load,client:visible defers hydration until needed matching Apple's philosophy of fast initial render,critical
layout-component,Layout component for consistent Apple nav/footer,"--- // src/layouts/BaseLayout.astro import Header from '@/components/Header.astro'; import Footer from '@/components/Footer.astro'; const { title } = Astro.props; --- <html lang='en'> <head><title>{title}</title></head> <body> <Header /> <main><slot /></main> <Footer /> </body> </html>",Repeating header/footer markup in every page file,Shared layout component is an Astro primitive that persists nav chrome across all routes,critical
css-tokens,CSS custom properties in global.css,"/* src/styles/global.css */ :root { --color-text-primary: #1d1d1f; --color-text-secondary: #86868b; --color-bg: #fbfbfd; --color-blue: #2997ff; --space-xs: 4px; --space-sm: 8px; --space-md: 16px; --space-lg: 24px; --space-xl: 48px; } @media (prefers-color-scheme: dark) { :root { --color-bg: #000000; --color-text-primary: #f5f5f7; } }",Per-component or inline style token values,Global token file is the single source of truth for all Apple color and spacing values,critical
astro-image,Astro Image component for optimized hero images,"--- import { Image } from 'astro:assets'; import heroImg from '@/assets/hero.jpg'; --- <Image src={heroImg} alt='Hero' width={1200} height={600} format='webp' loading='eager' fetchpriority='high' />",Static <img> tag without WebP conversion or responsive sizes,astro:assets generates WebP srcset and inlines image dimensions preventing layout shift,critical
view-transitions,View Transitions API for Apple-like page transitions,"--- // astro.config.mjs export default defineConfig({ experimental: { viewTransitions: true } }); --- // In BaseLayout.astro: import { ViewTransitions } from 'astro:transitions'; <head> <ViewTransitions /> </head>",Full page reloads between routes without transition,View Transitions API creates native-feeling page changes matching iOS navigation animations,high
content-collections,Content collections for Apple-style blog/docs,"--- // src/content/config.ts import { defineCollection z } from 'astro:content'; export const collections = { blog: defineCollection({ schema: z.object({ title: z.string() description: z.string() pubDate: z.coerce.date() heroImage: z.string().optional() }) }) }; ---",Markdown files without schema validation or type safety,Typed content collections catch frontmatter errors at build time matching Apple's quality standards,high
font-stack,-apple-system font stack in base styles,"/* src/styles/global.css */ body { font-family: -apple-system BlinkMacSystemFont 'Inter' 'Segoe UI' system-ui sans-serif; -webkit-font-smoothing: antialiased; -moz-osx-font-smoothing: grayscale; font-size: 17px; line-height: 1.47; }",Component-level font-family declarations,Global font-stack ensures SF Pro on Apple hardware; Inter on all others,critical
header-glass,Backdrop-filter in Header.astro,"<header class='header'> <nav> <slot /> </nav> </header> <style> .header { backdrop-filter: saturate(180%) blur(20px); background: rgba(255 255 255 / 0.72); border-bottom: 1px solid rgba(0 0 0 / 0.1); position: sticky; top: 0; z-index: 100; } </style>",Opaque solid-color sticky header,Frosted glass is Apple's most recognizable navigation material across all platforms,critical
spacing-scale,Apple spacing scale in global CSS variables,":root { --space-xs: 4px; --space-sm: 8px; --space-md: 16px; --space-lg: 24px; --space-xl: 32px; --space-2xl: 48px; --space-3xl: 64px; --space-4xl: 80px; }",Ad-hoc padding values without spatial rhythm,Apple's 4pt-base grid in CSS variables enables consistent vertical and horizontal rhythm,high
scoped-styles,Scoped styles in .astro components with Apple tokens,"<style> .card { background: var(--color-surface, #ffffff); border-radius: 12px; border: 1px solid var(--color-separator, rgba(0 0 0 / 0.1)); padding: var(--space-lg); } </style>",Hardcoded hex colors or pixel values in component styles,Astro scopes styles to the component automatically; using tokens keeps dark mode free,high
client-idle,client:idle for non-critical interactive components,"<!-- Analytics, newsletter signup, chat widget --> <NewsletterSignup client:idle /> <ChatWidget client:idle />",client:load for all interactive components regardless of criticality,client:idle yields to critical rendering then hydrates matching Apple's performance priority model,high
intersection-reveal,Intersection Observer for scroll-triggered reveals,"<script> const reveals = document.querySelectorAll('[data-reveal]'); const obs = new IntersectionObserver(entries => { entries.forEach(e => { if (e.isIntersecting) { e.target.classList.add('revealed'); obs.unobserve(e.target); } }); } { threshold: 0.1 }); reveals.forEach(el => obs.observe(el)); </script> <style> [data-reveal] { opacity: 0; transform: translateY(20px); transition: opacity 0.6s cubic-bezier(0.25 0.1 0.25 1) transform 0.6s cubic-bezier(0.25 0.1 0.25 1); } [data-reveal].revealed { opacity: 1; transform: none; } </style>",Scroll event listeners for visibility detection,Performant IntersectionObserver matches Apple.com's scroll-driven section reveals,medium
dark-mode-attr,prefers-color-scheme with data-theme attribute,"<script> const dark = matchMedia('(prefers-color-scheme: dark)'); document.documentElement.dataset.theme = dark.matches ? 'dark' : 'light'; dark.addEventListener('change' e => { document.documentElement.dataset.theme = e.matches ? 'dark' : 'light'; }); </script> <style> [data-theme='dark'] { --color-bg: #000000; --color-text-primary: #f5f5f7; } </style>",CSS-only prefers-color-scheme without JS listener for dynamic switching,data-theme attribute approach allows user toggle while still defaulting to system preference,critical
reduced-motion,prefers-reduced-motion respected in transitions,"@media (prefers-reduced-motion: reduce) { * { animation-duration: 0.01ms !important; transition-duration: 0.01ms !important; } } /* In View Transitions: */ @media (prefers-reduced-motion: reduce) { ::view-transition-old(root) ::view-transition-new(root) { animation: none; } }",No animation preference handling in global or component styles,Mandatory for accessibility compliance; maps to iOS Reduce Motion setting,critical
static-generation,Static generation for Apple-like fast page loads,"--- // pages/blog/[slug].astro export async function getStaticPaths() { const posts = await getCollection('blog'); return posts.map(post => ({ params: { slug: post.slug } props: { post } })); } const { post } = Astro.props; ---",SSR for content pages that rarely change,Pre-built HTML served from CDN edge matches Apple.com's near-instant load times,critical
mdx-integration,MDX for rich content with Apple typography,"// astro.config.mjs: import mdx from '@astrojs/mdx'; export default defineConfig({ integrations: [mdx()] }); // Usage in MDX: import Figure from '@/components/Figure.astro'; <Figure src='/product.jpg' caption='Detail view' />",Plain Markdown without component embedding,MDX enables interactive demos and custom figure components in blog posts without framework overhead,medium
rss-feed,RSS feed matching Apple Podcasts/News style,"// src/pages/rss.xml.ts import rss from '@astrojs/rss'; export async function GET(context) { const posts = await getCollection('blog'); return rss({ title: 'Brand Blog' description: 'News and updates' site: context.site items: posts.map(post => ({ title: post.data.title description: post.data.description pubDate: post.data.pubDate link: '/blog/' + post.slug })) }); }",No RSS feed or non-standard feed format,Standard RSS enables subscription via Apple News Podcasts and third-party readers,medium
sitemap,Sitemap generation for SEO,"// astro.config.mjs: import sitemap from '@astrojs/sitemap'; export default defineConfig({ site: 'https://example.com' integrations: [sitemap()] });",Manual sitemap.xml maintenance or no sitemap,Auto-generated sitemap keeps search indexing current with zero maintenance,medium
max-width,980px max-width content constraint,"/* global.css */ .container { max-width: 980px; margin-inline: auto; padding-inline: clamp(16px 5vw 40px); } /* Wide variant for hero images: */ .container-wide { max-width: 1200px; margin-inline: auto; }",Full viewport width text blocks without max-width,Apple.com's 980px reading constraint produces comfortable line lengths on all desktop sizes,high
hero-typography,Hero sections with large bold Apple typography,"<section class='hero'> <h1 class='hero-title'>Next-generation design.</h1> <p class='hero-subtitle'>Crafted for every screen.</p> </section> <style> .hero-title { font-size: clamp(48px 8vw 96px); font-weight: 700; letter-spacing: -0.004em; line-height: 1.05; } </style>",Standard paragraph-sized hero headings without tight tracking,Oversized bold headlines with tight tracking are Apple's defining brand typographic expression,critical
