keyword,name,type,response,damping_fraction,blend_duration,usage,source,platform
smooth,smooth,spring,0.5,1.0,0,General view transitions and state changes,SwiftUI preset,iOS macOS
snappy,snappy,spring,0.35,1.0,0,Quick confirmatory actions and feedback,SwiftUI preset,iOS macOS
bouncy,bouncy,spring,0.5,0.7,0,Playful delightful interactions,SwiftUI preset,iOS macOS
interactive,interactive,spring,0.15,0.86,0.25,Gesture-driven real-time following,SwiftUI preset,iOS
button-press,button-press,spring,0.3,0.8,0,Button tap scale feedback,Observed,iOS macOS
card-expansion,card-expansion,spring,0.3,0.82,0,Card expanding to detail view,Observed,iOS
sheet-presentation,sheet-presentation,spring,0.45,0.9,0,Sheet and modal show and hide,Observed,iOS
keyboard,keyboard,spring,0.35,1.0,0,Layout adjustment when keyboard appears,Observed,iOS
default-balanced,default-balanced,spring,0.55,0.75,0,General purpose balanced spring,Common,iOS macOS
dramatic,dramatic,spring,0.9,0.95,0,Slow modal or hero transitions,Common,iOS macOS
web-ease,web-ease,css,0.3s,n/a,n/a,Standard cubic-bezier(0.25 0.1 0.25 1) ease,apple.com,web
web-scroll-reveal,web-scroll-reveal,css,0.6s,n/a,n/a,Fade and translateY on scroll into viewport,apple.com,web
hero-stagger,hero-stagger-entrance,pattern,n/a,n/a,n/a,Hero elements stagger on load: tag(0ms) headline(150ms) subtitle(300ms) CTAs(450ms) visual(600ms). Each: opacity 0→1 translateY(30px→0) 600ms,Apple product pages standard,all
section-reveal,section-scroll-reveal,pattern,n/a,n/a,n/a,Every section uses IntersectionObserver(threshold 0.15). Headline reveals first then content staggers 100-150ms apart. opacity 0→1 translateY(30px→0),Apple product pages standard,all
parallax-visual,parallax-product-visual,pattern,n/a,n/a,n/a,Product mockups and hero visuals move at 0.3x scroll speed creating depth. Use CSS custom property --parallax-offset updated via rAF,Apple product pages standard,all
clip-reveal,clip-path-reveal,pattern,n/a,n/a,n/a,Large visuals reveal via clip-path: inset(8% round 16px) → inset(0% round 16px) as element scrolls into view. 1s transition,Apple product pages standard,all
chart-draw,svg-chart-draw,pattern,n/a,n/a,n/a,SVG charts animate stroke-dasharray from 0 to full length creating a drawing effect. Triggered on scroll into view,Apple product pages standard,all
counter-animate,number-count-up,pattern,n/a,n/a,n/a,Numbers count from 0 to final value with ease-out cubic timing over 2s. Triggered by IntersectionObserver(threshold 0.5),Apple product pages standard,all
hover-card-lift,card-hover-lift,pattern,n/a,n/a,n/a,Cards lift on hover: translateY(-4px) + box-shadow increase. transition: all 200ms cubic-bezier(0.25 0.1 0.25 1),Apple product pages standard,all
gradient-text,gradient-text-reveal,pattern,n/a,n/a,n/a,Headlines use background: linear-gradient with background-clip: text. Gradient activates/sweeps when scrolled into view,Apple product pages standard,all
reduced-motion,reduced-motion-respect,rule,n/a,n/a,n/a,Always check prefers-reduced-motion. When active disable ALL decorative animation and show all content immediately,WCAG + Apple a11y,all
apple-easing,apple-standard-easing,reference,n/a,n/a,n/a,Apple's standard easing: cubic-bezier(0.25 0.1 0.25 1). Use for ALL transitions. Never use linear or ease-in-out,Apple product pages,all
gpu-only,gpu-accelerated-only,rule,n/a,n/a,n/a,Only animate transform and opacity for 60fps performance. Never animate width height margin padding top left. Use will-change on animated elements,Apple performance standard,all
