keyword,pattern,implementation,anti_pattern,notes,priority
large-titles,UINavigationController with large titles,"navigationController.navigationBar.prefersLargeTitles = true; viewController.navigationItem.largeTitleDisplayMode = .always; // or .automatic for scroll-collapse behavior",Fixed small navigation titles for all screens,Large titles are a defining HIG navigation pattern for top-level hierarchy screens,critical
tab-bar,UITabBarController for primary tab navigation,"let tabBar = UITabBarController(); tabBar.viewControllers = [homeNav feedNav searchNav profileNav]; tabBar.selectedIndex = 0; tabBar.tabBar.tintColor = .systemBlue;",Custom tab bar built from UIView or UIStackView,UITabBarController provides system-integrated tab behavior with correct animations and state,critical
table-inset-grouped,UITableView with insetGrouped style,"let tableView = UITableView(frame: .zero style: .insetGrouped); tableView.backgroundColor = .systemGroupedBackground; // Cells automatically get rounded corners and inset margins",UITableView plain style for settings and grouped lists,insetGrouped matches iOS Settings and System UI style with built-in corner rounding,high
compositional-layout,UICollectionView with compositional layout,"let itemSize = NSCollectionLayoutSize(widthDimension: .fractionalWidth(0.5) heightDimension: .estimated(200)); let item = NSCollectionLayoutItem(layoutSize: itemSize); let groupSize = NSCollectionLayoutSize(widthDimension: .fractionalWidth(1.0) heightDimension: .estimated(200)); let group = NSCollectionLayoutGroup.horizontal(layoutSize: groupSize subitems: [item]); let section = NSCollectionLayoutSection(group: group); section.interGroupSpacing = 16; section.contentInsets = NSDirectionalEdgeInsets(top: 16 leading: 16 bottom: 16 trailing: 16);",UICollectionViewFlowLayout for complex multi-section layouts,Compositional layout handles self-sizing cells and complex grid/shelf patterns declaratively,high
button-config,UIButton.Configuration for styled buttons,"var config = UIButton.Configuration.filled(); config.title = 'Continue'; config.cornerStyle = .large; config.buttonSize = .large; let button = UIButton(configuration: config primaryAction: UIAction { _ in }); button.tintColor = .systemBlue;",Legacy setTitle/setBackgroundColor with manual styling,UIButton.Configuration (iOS 15+) handles all visual states including highlighted and disabled cleanly,critical
sheet-presentation,UISheetPresentationController for modal sheets,"let vc = DetailViewController(); if let sheet = vc.sheetPresentationController { sheet.detents = [.medium() .large()]; sheet.prefersGrabberVisible = true; sheet.prefersScrollingExpandsWhenScrolledToEdge = true; } present(vc animated: true)",Full-screen modals for content that warrants a sheet,Half-sheet detents match iOS system UI patterns for contextual detail views,critical
alert-controller,UIAlertController for alerts and action sheets,"// Alert: let alert = UIAlertController(title: 'Delete?' message: 'This cannot be undone.' preferredStyle: .alert); alert.addAction(UIAlertAction(title: 'Delete' style: .destructive { _ in })); alert.addAction(UIAlertAction(title: 'Cancel' style: .cancel)); present(alert animated: true); // Action Sheet on iPad: alert.popoverPresentationController?.barButtonItem = barButton",Custom modal dialogs built from UIView,System alerts and action sheets follow HIG exactly and are VoiceOver-accessible out of the box,critical
search-controller,UISearchController for integrated search,"let searchController = UISearchController(searchResultsController: resultsVC); searchController.searchResultsUpdater = self; searchController.obscuresBackgroundDuringPresentation = false; navigationItem.searchController = searchController; navigationItem.hidesSearchBarWhenScrolling = true;",UITextField manually placed in navigation bar for search,UISearchController integrates with large title navigation and provides correct iOS search UX,high
sf-symbols,SF Symbols via UIImage systemName,"let image = UIImage(systemName: 'heart.fill'); let imageView = UIImageView(image: image); imageView.preferredSymbolConfiguration = UIImage.SymbolConfiguration(pointSize: 24 weight: .medium); imageView.tintColor = .systemRed;",Custom PNG icons for system actions already covered by SF Symbols,SF Symbols scale with Dynamic Type and adapt to light/dark mode automatically,critical
dynamic-type,UIFont.preferredFont for Dynamic Type,"label.font = UIFont.preferredFont(forTextStyle: .headline); label.adjustsFontForContentSizeCategory = true; // For custom fonts: label.font = UIFontMetrics(forTextStyle: .body).scaledFont(for: customFont); label.adjustsFontForContentSizeCategory = true;",Hardcoded font sizes that ignore user's Accessibility text size setting,Required for accessibility compliance; large text users need scalable fonts,critical
semantic-colors,Semantic UIColor for dark mode,"view.backgroundColor = .systemBackground; titleLabel.textColor = .label; subtitleLabel.textColor = .secondaryLabel; separatorView.backgroundColor = .separator; // Tinted surfaces: card.backgroundColor = .secondarySystemGroupedBackground;",Hardcoded UIColor(red:green:blue:) values without dark mode variants,Semantic colors adapt automatically to dark mode and high contrast without any extra code,critical
spring-animation,UIView.animate with spring damping and velocity,"UIView.animate(withDuration: 0.5 delay: 0 usingSpringWithDamping: 0.7 initialSpringVelocity: 0.8 options: .curveEaseOut animations: { view.transform = .identity view.alpha = 1 } completion: nil); // iOS 17+: UIView.animate(springDuration: 0.5) { view.transform = .identity }",UIView.animate with linear or ease-in-out for interactive element transitions,Spring animation matches UIKit's default feel for cards sheets and presented view controllers,critical
haptics,UIImpactFeedbackGenerator for haptic feedback,"let generator = UIImpactFeedbackGenerator(style: .medium); generator.prepare(); generator.impactOccurred(); // Styles: .light .medium .heavy .rigid .soft // For selections: UISelectionFeedbackGenerator // For notifications: UINotificationFeedbackGenerator",No haptic feedback on destructive or confirmation interactions,Haptics are a core Apple interaction primitive; missing them makes apps feel unpolished,high
auto-layout,Auto Layout with layoutMarginsGuide,"NSLayoutConstraint.activate([ label.topAnchor.constraint(equalTo: view.layoutMarginsGuide.topAnchor constant: 16) label.leadingAnchor.constraint(equalTo: view.layoutMarginsGuide.leadingAnchor) label.trailingAnchor.constraint(equalTo: view.layoutMarginsGuide.trailingAnchor) ]); // Use safeAreaLayoutGuide for full-bleed containers",Hardcoded frame values or magic numbers for positioning,layoutMarginsGuide adapts to device size class and safe area automatically,critical
visual-effect,UIVisualEffectView for blur and vibrancy,"let blurEffect = UIBlurEffect(style: .systemMaterial); let effectView = UIVisualEffectView(effect: blurEffect); effectView.frame = containerView.bounds; effectView.autoresizingMask = [.flexibleWidth .flexibleHeight]; containerView.addSubview(effectView); // Add content to effectView.contentView",Simulating blur with semi-transparent views,UIVisualEffectView uses Metal compositing for true real-time blur matching system materials,high
context-menus,UIMenu and UIContextMenuInteraction,"let interaction = UIContextMenuInteraction(delegate: self); view.addInteraction(interaction); // delegate method: func contextMenuInteraction(_ interaction: UIContextMenuInteraction configurationForMenuAtLocation location: CGPoint) -> UIContextMenuConfiguration? { return UIContextMenuConfiguration(actionProvider: { _ in UIMenu(children: [ UIAction(title: 'Share' image: UIImage(systemName: 'square.and.arrow.up')) { _ in }, UIAction(title: 'Delete' image: UIImage(systemName: 'trash') attributes: .destructive) { _ in } ]) }) }",Long-press gesture recognizer with custom popover menu,UIMenu renders system-standard context menus with correct animations haptics and accessibility,high
swipe-actions,UISwipeActionsConfiguration for list swipe actions,"func tableView(_ tableView: UITableView trailingSwipeActionsConfigurationForRowAt indexPath: IndexPath) -> UISwipeActionsConfiguration? { let delete = UIContextualAction(style: .destructive title: 'Delete') { _ _ completion in self.deleteItem(at: indexPath); completion(true); }; delete.image = UIImage(systemName: 'trash'); return UISwipeActionsConfiguration(actions: [delete]); }",Custom pan gesture recognizers for swipe-to-delete,System swipe actions get correct animation haptics and accessibility labeling automatically,high
spacing-constants,NSDirectionalEdgeInsets with Apple spacing constants,"let insets = NSDirectionalEdgeInsets(top: 16 leading: 16 bottom: 16 trailing: 16); section.contentInsets = insets; // Standard padding: 16pt (compact) 20pt (regular) // Card padding: 16pt all sides // List row: 16pt horizontal 11pt vertical",Hardcoded or inconsistent padding values across different views,16pt horizontal and 16pt vertical insets match the iOS standard reading margin,high
continuous-corners,UIView continuous corner curve,"view.layer.cornerRadius = 16; view.layer.cornerCurve = .continuous; view.clipsToBounds = true; // For card-style cells view.layer.masksToBounds = true;",Standard CALayer cornerRadius without .continuous curve,Continuous corner curve (superellipse) matches iPhone hardware corners and Apple UI system-wide,critical
