keyword,name,light_hex,dark_hex,usage,semantic_role,platform
systemBlue,systemBlue,#007AFF,#0A84FF,Links and interactive elements,accent,all
systemGreen,systemGreen,#34C759,#30D158,Success states and confirmation,success,all
systemIndigo,systemIndigo,#5856D6,#5E5CE6,Secondary accent and decorative,accent-secondary,all
systemOrange,systemOrange,#FF9500,#FF9F0A,Warnings and highlights,warning,all
systemPink,systemPink,#FF2D55,#FF375F,Favorites and media actions,accent-tertiary,all
systemPurple,systemPurple,#AF52DE,#BF5AF2,Creative and premium features,premium,all
systemRed,systemRed,#FF3B30,#FF453A,Errors and destructive actions,destructive,all
systemTeal,systemTeal,#5AC8FA,#64D2FF,Communication and informational,info,all
systemYellow,systemYellow,#FFCC00,#FFD60A,Stars ratings and caution,caution,all
systemGray,systemGray,#8E8E93,#8E8E93,Neutral secondary elements,neutral,all
systemGray2,systemGray2,#AEAEB2,#636366,Disabled states and placeholders,neutral-2,all
systemGray3,systemGray3,#C7C7CC,#48484A,Borders and light fills,neutral-3,all
systemGray4,systemGray4,#D1D1D6,#3A3A3C,Light borders and dividers,neutral-4,all
systemGray5,systemGray5,#E5E5EA,#2C2C2E,Grouped background highlights,neutral-5,all
systemGray6,systemGray6,#F2F2F7,#1C1C1E,Secondary background level,neutral-6,all
label,label,#000000,#FFFFFF,Primary text content,text-primary,all
secondaryLabel,secondaryLabel,#3C3C4399,#EBEBF599,Supporting and descriptive text,text-secondary,all
tertiaryLabel,tertiaryLabel,#3C3C4330,#EBEBF530,Placeholder and hint text,text-tertiary,all
quaternaryLabel,quaternaryLabel,#3C3C431E,#EBEBF51E,Decorative and disabled text,text-quaternary,all
systemFill,systemFill,#78788033,#78788058,Thin fills over content,fill-primary,ios
secondarySystemFill,secondarySystemFill,#78788029,#78788052,Secondary fills and overlays,fill-secondary,ios
tertiarySystemFill,tertiarySystemFill,#7676801F,#7676803D,Tertiary fills for backgrounds,fill-tertiary,ios
quaternarySystemFill,quaternarySystemFill,#74748014,#7676802E,Subtle background fills,fill-quaternary,ios
systemBackground,systemBackground,#FFFFFF,#000000,Primary screen background,bg-primary,ios
secondarySystemBackground,secondarySystemBackground,#F2F2F7,#1C1C1E,Cards and grouped content background,bg-secondary,ios
tertiarySystemBackground,tertiarySystemBackground,#FFFFFF,#2C2C2E,Tertiary layer background,bg-tertiary,ios
systemGroupedBackground,systemGroupedBackground,#F2F2F7,#000000,Grouped inset table background,bg-grouped,ios
secondarySystemGroupedBackground,secondarySystemGroupedBackground,#FFFFFF,#1C1C1E,Grouped inset table cells,bg-grouped-secondary,ios
tertiarySystemGroupedBackground,tertiarySystemGroupedBackground,#F2F2F7,#2C2C2E,Grouped inset nested layers,bg-grouped-tertiary,ios
separator,separator,#3C3C434A,#54545899,List row dividers and borders,border,all
opaqueSeparator,opaqueSeparator,#C6C6C8,#38383A,Opaque divider lines,border-opaque,all
link,link,#007AFF,#0984FF,Tappable text links,link,all
placeholderText,placeholderText,#3C3C434D,#EBEBF54D,TextInput placeholder text,placeholder,all
appleText,appleText,#1d1d1f,#f5f5f7,Apple.com primary body text,text-primary,web
appleSecondary,appleSecondary,#86868b,#a1a1a6,Apple.com secondary and caption text,text-secondary,web
appleBackground,appleBackground,#fbfbfd,#000000,Apple.com page background,bg-primary,web
appleLink,appleLink,#2997ff,#2997ff,Apple.com call-to-action links,link,web
