keyword,pattern,implementation,anti_pattern,notes,priority
next-font-inter,next/font with Inter as SF Pro fallback,"import { Inter } from 'next/font/google'; const inter = Inter({ subsets: ['latin'] display: 'swap' }); export default function RootLayout({ children }) { return <html className={inter.className}> }",Loading Google Fonts via <link> tag or @import in CSS,next/font eliminates layout shift and self-hosts font for performance matching Apple's load speed,critical
app-router-layout,App Router layout.tsx for consistent chrome,"export default function RootLayout({ children }: { children: React.ReactNode }) { return <html><body><NavBar />{children}<Footer /></body></html> }",Pages Router _app.tsx with manual layout wrapping,App Router layouts persist across navigation without remounting preserving Apple nav feel,critical
server-components,Server Components for fast initial load,"async function ProductList() { const products = await fetchProducts(); return <ul>{products.map(p => <ProductCard key={p.id} {...p} />)}</ul> }",Client components fetching data on mount with useEffect,Zero JS shipped for data-fetching components matches Apple.com's performance profile,critical
next-image-priority,next/image with priority for hero,"<Image src='/hero.jpg' alt='Hero' width={1200} height={600} priority placeholder='blur' blurDataURL={blurUrl} />",<img> tag without optimization or priority hint,Eliminates LCP bottleneck; blur placeholder matches Apple's progressive image loading,critical
metadata-api,Metadata API for Apple-style SEO,"export const metadata: Metadata = { title: 'Product – Brand' description: 'Description' openGraph: { images: [{ url: '/og.jpg' width: 1200 height: 630 }] } viewport: { width: 'device-width' initialScale: 1 viewportFit: 'cover' } }",<Head> with manual meta tags in each page,Single metadata export covers OG image and viewport for PWA and sharing,high
route-groups,Route groups for layout isolation,"app/(marketing)/page.tsx uses MarketingLayout; app/(app)/dashboard/page.tsx uses AppLayout",Single layout wrapping all routes with conditional rendering,Separate layout trees for marketing and authenticated app without URL impact,high
loading-skeleton,loading.tsx with Apple skeleton screens,"export default function Loading() { return <div className='animate-pulse'><div className='h-8 bg-gray-100 rounded-xl mb-4' /><div className='h-4 bg-gray-50 rounded-lg w-2/3' /></div> }",Spinner-only loading states or no loading UI,Apple apps show content silhouettes at correct size to prevent layout shift on load,high
error-page,error.tsx with clean Apple error design,"'use client'; export default function Error({ reset }: { reset: () => void }) { return <main className='flex flex-col items-center gap-6 py-24'><h1 className='text-4xl font-bold'>Something went wrong</h1><button onClick={reset}>Try again</button></main> }",Generic browser error page or noisy stack traces exposed to users,Clean minimal error pages match Apple's design principle of calm technology,medium
intercepting-routes,Parallel routes for modal sheets,"app/@modal/(.)photos/[id]/page.tsx intercepts /photos/[id] to show as overlay; app/layout.tsx renders {modal} slot alongside {children}",Client-side state for modal open/close with URL not reflecting modal state,URL-addressable modals match iOS sheet behavior; deep-linkable and browser-history-aware,high
static-generation,generateStaticParams for product pages,"export async function generateStaticParams() { const products = await getProducts(); return products.map(p => ({ slug: p.slug })) }",getServerSideProps for pages that rarely change,Pre-rendered pages served from CDN edge match Apple.com's near-instant page loads,high
dynamic-import,Dynamic imports for code splitting,"const HeavyChart = dynamic(() => import('@/components/HeavyChart') { loading: () => <ChartSkeleton /> ssr: false })",Importing all components eagerly in page files,Reduces initial JS payload keeping time-to-interactive fast for Apple-caliber performance,high
apple-color-tokens,CSS custom properties for Apple color tokens,":root { --color-text-primary: #1d1d1f; --color-text-secondary: #86868b; --color-bg: #fbfbfd; --color-blue: #2997ff; --color-separator: rgba(0 0 0 / 0.15); } @media (prefers-color-scheme: dark) { :root { --color-bg: #000000; --color-text-primary: #f5f5f7; } }",Hardcoded hex values in component CSS or Tailwind arbitrary values,Centralized semantic color tokens flip automatically with system dark mode,critical
glass-nav,Backdrop-filter nav component,"nav { backdrop-filter: saturate(180%) blur(20px); background: rgba(255 255 255 / 0.72); border-bottom: 1px solid rgba(0 0 0 / 0.1); position: sticky; top: 0; z-index: 100; }",Opaque solid background on navigation bar,Apple's signature frosted glass nav replicates material translucency on the web,critical
scroll-reveal,Intersection Observer for scroll animations,"const observer = new IntersectionObserver(entries => entries.forEach(e => e.isIntersecting && e.target.classList.add('visible')) { threshold: 0.1 }); useEffect(() => { observer.observe(ref.current); return () => observer.disconnect() } [])",scroll event listener for reveal animations,Performant off-main-thread intersection detection matches Apple.com fade-in sections,medium
dark-mode-next,prefers-color-scheme + next-themes,"import { ThemeProvider } from 'next-themes'; <ThemeProvider attribute='class' defaultTheme='system' enableSystem>; CSS: [data-theme='dark'] { --color-bg: #000000; }",JavaScript-only dark mode toggle ignoring system preference,System-level dark mode preference respected without flash of wrong theme on load,critical
env-safe-area,CSS env() for safe areas on mobile web,"body { padding-bottom: env(safe-area-inset-bottom); } .tab-bar { padding-bottom: calc(env(safe-area-inset-bottom) + 8px); }",Hardcoded bottom padding for iPhone home indicator clearance,Adapts to home indicator and Dynamic Island on all iPhone models in Safari,critical
pwa-manifest,Apple touch icon and manifest for PWA,"<link rel='apple-touch-icon' sizes='180x180' href='/apple-touch-icon.png'>; manifest.json: { 'display': 'standalone' 'theme_color': '#fbfbfd' 'background_color': '#ffffff' }",Generic favicon only without Apple touch icon or web app manifest,Enables Add to Home Screen with correct icon and splash colors matching brand,high
