keyword,pattern,implementation,anti_pattern,notes,priority
className-over-style,Use className with Tailwind not inline styles,<View className="bg-white p-4 rounded-xl">,<View style={{ backgroundColor: '#fff' padding: 16 borderRadius: 12 }}>,NativeWind compiles className to StyleSheet at build time for performance,critical
apple-color-tokens,Apple color tokens in tailwind.config,colors: { apple: { blue: '#007AFF' red: '#FF3B30' green: '#34C759' gray: '#8E8E93' } },Hardcoded hex colors in className or style,Semantic tokens enable dark mode and consistency across the app,critical
dark-mode-prefix,Dark mode via dark: prefix,<View className="bg-white dark:bg-black">,Manual colorScheme checks for every element,NativeWind dark: prefix reads system color scheme automatically,high
spacing-scale,4pt Apple spacing scale in tailwind.config,extend: { spacing: { '4': '4px' '8': '8px' '12': '12px' '16': '16px' '20': '20px' '24': '24px' '32': '32px' '44': '44px' } },Arbitrary spacing values outside the 4pt grid,Apple's 4pt grid aligns all UI elements to a consistent rhythm,high
typography-config,SF Pro via fontFamily config,fontFamily: { sans: ['SF Pro Display' 'SF Pro Text' 'Inter' 'system-ui'] },No font config — defaults to generic sans-serif,SF Pro on iOS automatic via system-ui; Inter as cross-platform fallback,high
border-radius-apple,rounded-xl for 12px Apple button radius,<Pressable className="rounded-xl bg-blue-500">,<Pressable className="rounded-sm"> or arbitrary rounded-[5px],rounded-xl = 12px matches Apple button corner standard; rounded-2xl = 16px for cards,high
border-curve-style,borderCurve continuous via style prop alongside className,<View className="rounded-2xl" style={{ borderCurve: 'continuous' }}>,className="rounded-2xl" alone without borderCurve style,NativeWind cannot express borderCurve — must use style prop alongside className,critical
touch-target,44pt minimum touch target via className,<Pressable className="min-h-[44px] min-w-[44px] justify-center items-center">,<Pressable className="h-8 w-8"> for small icon buttons,Apple HIG requires 44x44pt minimum tappable area for all interactive elements,critical
safe-area,Safe area with react-native-safe-area-context,<SafeAreaView className="flex-1"> or useSafeAreaInsets() for manual control,<View className="pt-12"> hardcoded status bar padding,useSafeAreaInsets adapts to Dynamic Island notch and home indicator automatically,critical
pressable-not-touchable,Pressable instead of TouchableOpacity,<Pressable className="active:opacity-70 rounded-xl">,<TouchableOpacity activeOpacity={0.8}>,Pressable gives full control over pressed state styling via className selectors,critical
expo-haptics,expo-haptics wrapped in onPress handlers,import * as Haptics from 'expo-haptics'; onPress={() => { Haptics.impactAsync(ImpactFeedbackStyle.Medium); action(); }},onPress without haptic feedback on interactive elements,Haptics match iOS tap feedback patterns and improve perceived responsiveness,high
expo-blur,expo-blur BlurView for material effects,<BlurView intensity={80} tint="light" className="rounded-2xl overflow-hidden">,<View className="opacity-80 bg-white"> for blur/frosted glass effects,BlurView uses native UIVisualEffectView on iOS for true vibrancy,high
expo-image,expo-image over react-native Image,import { Image } from 'expo-image'; <Image source={uri} placeholder={blurhash} className="w-full h-48 rounded-xl">,import { Image } from 'react-native'; without blurhash or caching policy,expo-image handles blurhash placeholders caching and progressive loading,critical
expo-symbols,expo-symbols for SF Symbols on iOS,import { SFSymbol } from 'expo-symbols'; <SFSymbol name="star.fill" weight="semibold" size={24} />,Custom icon fonts or PNG assets for system icons,SF Symbols adapt to weight and scale matching iOS native components,high
reanimated-spring,Reanimated spring for animations,withSpring(toValue { damping: 15 stiffness: 150 }) on shared values,Animated.timing() with easeInOut or CSS transition equivalents,Spring physics match UIKit's default animation feel without frame drops,critical
flashlist-not-scrollview,FlashList for lists over ScrollView,import { FlashList } from '@shopify/flash-list'; <FlashList data={items} renderItem={renderItem} />,<ScrollView>{items.map(i => <Item key={i.id} />)}</ScrollView> for large lists,FlashList recycles cells for O(1) memory regardless of list length,critical
