keyword,pattern,implementation,anti_pattern,notes,priority
cupertino-app,CupertinoApp for iOS-first,CupertinoApp(theme: CupertinoThemeData(primaryColor: CupertinoColors.systemBlue)),MaterialApp with Cupertino widgets mixed in,CupertinoApp provides correct iOS scroll physics and text handling globally,critical
cupertino-button,CupertinoButton for iOS taps,CupertinoButton(child: Text('OK') onPressed: () {} padding: EdgeInsets.symmetric(horizontal: 16)),ElevatedButton or TextButton in iOS-targeted apps,Matches iOS button appearance with correct press animation,critical
cupertino-nav-bar,CupertinoNavigationBar for top nav,CupertinoNavigationBar(middle: Text('Title') trailing: CupertinoButton(child: Icon(CupertinoIcons.add) onPressed: () {})),AppBar in iOS apps,Provides correct iOS navigation chrome and back button behavior,critical
cupertino-sliver-nav,Large title collapsing nav,CustomScrollView(slivers: [CupertinoSliverNavigationBar(largeTitle: Text('Title')) SliverList(...)]),Static navigation bar that does not collapse on scroll,Matches iOS large title transition behavior precisely,critical
cupertino-tab-bar,CupertinoTabBar for bottom nav,CupertinoTabScaffold(tabBar: CupertinoTabBar(items: [...]) tabBuilder: (ctx i) => CupertinoTabView(...)),BottomNavigationBar in iOS apps,Native iOS tab bar with correct badge and selection behavior,critical
cupertino-text-field,CupertinoTextField for inputs,CupertinoTextField(placeholder: 'Search' clearButtonMode: OverlayVisibilityMode.editing padding: EdgeInsets.all(12)),TextField with Material decoration in iOS apps,iOS-styled text field with correct cursor color and selection handles,high
cupertino-search-field,CupertinoSearchTextField,CupertinoSearchTextField(onChanged: (val) {} placeholder: 'Search'),Custom search bar built from Row and TextField,Native iOS search field with magnifier icon and clear button,high
cupertino-switch,CupertinoSwitch for toggles,CupertinoSwitch(value: isOn onChanged: (v) => setState(() => isOn = v) activeColor: CupertinoColors.systemGreen),Switch widget in iOS-first apps,Matches iOS toggle shape with wider track and circular thumb,critical
cupertino-slider,CupertinoSlider for range input,CupertinoSlider(value: _val min: 0 max: 1 onChanged: (v) => setState(() => _val = v)),Slider widget with Material thumb in iOS apps,iOS-styled slider with correct thumb and track appearance,medium
cupertino-date-picker,CupertinoDatePicker for date input,showCupertinoModalPopup(context: context builder: (_) => CupertinoDatePicker(mode: CupertinoDatePickerMode.date onDateTimeChanged: (d) {})),Material DatePickerDialog in iOS apps,iOS drum-roll date picker shown in bottom sheet,high
cupertino-alert-dialog,CupertinoAlertDialog for alerts,showCupertinoDialog(context: context builder: (_) => CupertinoAlertDialog(title: Text('Delete?') actions: [CupertinoDialogAction(isDestructiveAction: true child: Text('Delete') onPressed: () {})])),AlertDialog widget in iOS apps,iOS-styled alert with blurred background and correct button layout,critical
cupertino-action-sheet,CupertinoActionSheet for choices,showCupertinoModalPopup(context: context builder: (_) => CupertinoActionSheet(title: Text('Options') actions: [...] cancelButton: CupertinoActionSheetAction(...))),BottomSheet with ListTile options in iOS apps,iOS action sheet with cancel button separated visually,high
cupertino-theme-data,CupertinoThemeData for Apple tokens,CupertinoThemeData(primaryColor: CupertinoColors.systemBlue barBackgroundColor: CupertinoColors.systemBackground scaffoldBackgroundColor: CupertinoColors.systemGroupedBackground),Hardcoded Color(0xFF...) values for iOS color roles,Adapts to light/dark mode and accessibility settings automatically,critical
cupertino-colors,CupertinoColors with dynamic variants,CupertinoColors.systemBlue.resolveFrom(context) or CupertinoColors.label for adaptive text,Static Color.blue or Color(0xFF007AFF) without dark mode variant,CupertinoColors provide correct iOS semantic colors that adapt to appearance,critical
cupertino-dynamic-color,CupertinoDynamicColor for custom adaptive,CupertinoDynamicColor.withBrightness(color: Color(0xFF1C1C1E) darkColor: Color(0xFFFFFFFF)),Single Color value for elements needing light/dark variants,Manually specify adaptive colors matching iOS color system,high
cupertino-context-menu,CupertinoContextMenu for peek/pop,CupertinoContextMenu(actions: [CupertinoContextMenuAction(child: Text('Copy') onPressed: () {})] child: Image(...)),Long-press GestureDetector with custom overlay for context actions,Native iOS context menu with blur background and spring-in animation,high
cupertino-page-route,CupertinoPageRoute for transitions,Navigator.push(context CupertinoPageRoute(builder: (_) => DetailScreen())),MaterialPageRoute in iOS-first apps,iOS-style horizontal slide transition with correct gesture-based back navigation,critical
backdrop-filter,Frosted glass effect,BackdropFilter(filter: ImageFilter.blur(sigmaX: 20 sigmaY: 20) child: Container(color: Colors.white.withOpacity(0.72))),Opaque container backgrounds for nav and sheets,Matches Apple's signature glass material for navigation bars and overlays,critical
cupertino-form-section,CupertinoFormSection for settings,CupertinoFormSection.insetGrouped(header: Text('Account') children: [CupertinoFormRow(prefix: Text('Name') child: CupertinoTextField(...))]),Column with manually styled ListTile rows for form-like layouts,Matches iOS inset-grouped form layout used in Settings app,high
cupertino-icons,CupertinoIcons as SF Symbols proxy,Icon(CupertinoIcons.star_fill color: CupertinoColors.systemYellow),Custom SVG assets or Material icons in iOS apps,Closest Flutter equivalent to SF Symbols; vector and weight-matched,high
bouncing-scroll-physics,iOS bounce scroll physics,CustomScrollView(physics: const BouncingScrollPhysics(parent: AlwaysScrollableScrollPhysics()) slivers: [...]),ClampingScrollPhysics in iOS-first apps,Replicates iOS rubber-band overscroll behavior,critical
4pt-grid-spacing,4pt spacing grid,EdgeInsets.symmetric(horizontal: 16 vertical: 12) or SizedBox(height: 8),Arbitrary padding values not aligned to 4pt increments,Apple HIG uses 4pt base grid: 4 8 12 16 20 24 32,high
haptic-feedback,HapticFeedback for tactile response,HapticFeedback.lightImpact() on button press or HapticFeedback.selectionClick() on selection change,No haptic feedback on interactive state changes,Matches iOS taptic engine patterns for confirmation and selection,high
safe-area-widget,SafeArea for device insets,SafeArea(child: Column(...)) or MediaQuery.of(context).padding.bottom for manual insets,Hardcoded top/bottom padding for notch and home indicator clearance,Handles Dynamic Island notch and home indicator on all iPhone models,critical
platform-check,Platform.isIOS for platform logic,import 'dart:io'; if (Platform.isIOS) { CupertinoWidget() } else { MaterialWidget() },Assuming single platform; shipping Cupertino-only without platform checks,Use platform checks when sharing code with Android to preserve correct native feel,medium
dark-mode-cupertino,Dark mode via CupertinoTheme,CupertinoTheme(data: CupertinoThemeData(brightness: MediaQuery.platformBrightnessOf(context))) child: ...,Hardcoded dark colors without reacting to system brightness,Detects system dark mode and applies correct Cupertino color tokens,critical
spring-animation,Spring physics animations,spring_simulation package or CurvedAnimation(curve: Curves.elasticOut parent: controller),Linear or decelerate curves for interactive animations,Physics-based spring matches Apple's UIKit spring animation model,high
sliver-list,SliverList/SliverGrid for performance,CustomScrollView(slivers: [SliverList(delegate: SliverChildBuilderDelegate((ctx i) => item(i) childCount: n))]),ListView with all children built upfront,Lazy rendering matches iOS table view cell reuse for long lists,high
