keyword,pattern,implementation,anti_pattern,notes,priority
apple-color-tokens,Apple system colors as HSL tokens in globals.css,":root { --background: 0 0% 98.4%; --foreground: 240 6% 10%; --primary: 211 100% 50%; --primary-foreground: 0 0% 100%; --destructive: 4 86% 58%; --muted: 240 5% 96%; --border: 240 6% 90%; } .dark { --background: 0 0% 0%; --foreground: 0 0% 96%; }",Keeping shadcn default slate/zinc tokens without mapping to Apple semantic colors,HSL tokens match Apple's #fbfbfd background #1d1d1f foreground and systemBlue #2997ff,critical
apple-background,--background matching Apple light surface,--background: 0 0% 98.4% maps to #fbfbfd; --card: 0 0% 100%; --popover: 0 0% 100%,Default white #ffffff background not matching Apple's off-white grouped background,Apple uses #fbfbfd not pure white for primary backgrounds on macOS and iOS web,critical
border-radius,--radius set to Apple button radius,--radius: 0.75rem in globals.css (12px matching Apple's standard button corner radius),Keeping --radius: 0.5rem or using component-level radius overrides inconsistently,12px matches Apple button corner radius; use calc(var(--radius) - 2px) for inner elements,critical
button-sizes,Button height variants matching Apple HIG,"cn(buttonVariants({ size: 'default' })) → h-[50px] px-5; size: 'sm' → h-8 px-3 text-sm; size: 'lg' → h-14 px-8 text-base",Custom button heights not aligned to Apple's 44-50px default touch target,Apple HIG minimum touch target is 44px; default button 50px matches iOS button height,critical
switch-ios-style,Switch styled as iOS toggle,"Switch component overrides in globals.css: [role='switch'] { width: 51px; height: 31px; } [role='switch'][data-state='checked'] { background: hsl(var(--primary)); } [role='switch'] span { width: 27px; height: 27px; }",Default Radix switch styles without iOS proportions,iOS toggle is 51x31pt with 27pt circular thumb; wider and taller than generic toggle,critical
dialog-sheet-style,Dialog styled as Apple formSheet,"<Dialog><DialogContent className='sm:rounded-2xl sm:max-w-md'> with CSS: .dialog-content { border-radius: 1.25rem; box-shadow: 0 25px 50px rgba(0 0 0 / 0.25); }",Full-screen or square-cornered dialog without sheet proportions,Apple sheets use 20px corner radius and present from bottom with grab handle on mobile,high
alert-dialog-apple,AlertDialog matching Apple alert layout,"<AlertDialog><AlertDialogContent className='rounded-2xl max-w-[270px] text-center'><AlertDialogFooter className='flex-col sm:flex-col gap-0 divide-y'><AlertDialogAction /><AlertDialogCancel /></AlertDialogFooter></AlertDialogContent>",Wide alert dialogs with side-by-side buttons,iOS alerts are 270px wide with stacked buttons divided by hairlines and centered text,high
select-menu-style,Select and DropdownMenu matching Apple picker style,"<Select><SelectContent className='rounded-xl'><SelectItem className='rounded-lg h-11'>...</SelectItem></SelectContent></Select>",Small item heights or sharp corners on dropdown menus,Apple menus use rounded containers with 44px item height and subtle hover fill,high
tabs-segmented-control,Tabs styled as iOS segmented control,"<Tabs className='bg-muted p-1 rounded-xl'><TabsList className='gap-1'><TabsTrigger className='rounded-lg data-[state=active]:bg-background data-[state=active]:shadow-sm h-8'>",Underline-only tab indicator without pill background,iOS segmented control uses filled pill indicator on grouped background,high
input-apple-metrics,Input with Apple text field dimensions,"<Input className='h-11 rounded-lg px-3 border-border bg-background placeholder:text-muted-foreground/60' />; globals.css: input { font-size: 17px; }",Small 32px inputs or Material-style outlined inputs with floating labels,Apple text fields are 44px height minimum with 8px radius and 17px body text,critical
card-continuous-corners,Card with continuous corners and Apple shadow,"<Card className='rounded-2xl border-0 shadow-[0_2px_8px_rgba(0,0,0,0.08)] bg-card'>",Sharp-corner cards or heavy drop shadows not matching Apple elevation,Apple cards use 16-20px corner radius and very subtle elevation (2-8px spread),high
sheet-bottom-sheet,Sheet component matching iOS sheet behavior,"<Sheet><SheetContent side='bottom' className='rounded-t-2xl h-auto max-h-[90vh] pb-[env(safe-area-inset-bottom)]'><div className='mx-auto w-12 h-1.5 bg-muted rounded-full mb-4' /></SheetContent></Sheet>",Slide-in side sheets as primary mobile modal pattern,iOS sheets slide up from bottom with grab handle and safe area bottom padding,critical
toast-apple-style,Sonner toast with Apple notification banner style,"<Toaster toastOptions={{ className: 'rounded-xl shadow-lg bg-background/90 backdrop-blur-xl border-0 text-sm font-medium' }} position='top-center' />",Bottom-center toasts or Material-style snackbars,Apple banners appear top-center with frosted glass background and rounded corners,high
nav-menu-apple,NavigationMenu for Apple-style nav bar,"<NavigationMenu className='border-b backdrop-blur-xl bg-background/72 sticky top-0 z-50'><NavigationMenuList className='max-w-[980px] mx-auto px-5 h-[52px]'>",Static nav without glass effect or incorrect height,Apple nav bar is 44-52px tall with frosted glass background and centered or leading title,high
scroll-area-apple,ScrollArea with custom Apple-style scrollbar,"<ScrollArea className='h-full'><style>{'[data-radix-scroll-area-scrollbar] { width: 4px; } [data-radix-scroll-area-thumb] { background: rgba(0 0 0 / 0.2); border-radius: 2px; }'}</style></ScrollArea>",Native browser scrollbar on content areas within app chrome,Apple scrollbars are thin (4px) semi-transparent overlays that auto-hide,medium
popover-apple-style,Popover matching Apple popover style,"<Popover><PopoverContent className='rounded-xl shadow-xl border-0 bg-background/90 backdrop-blur-xl p-0 w-64'>{items.map(item => <PopoverItem key={item.id} />)}</PopoverContent></Popover>",Flat bordered popover without blur or rounded corners,Apple popovers use frosted glass background with rounded corners and shadow,high
inter-tailwind-font,Inter font as SF Pro fallback in tailwind.config,"tailwind.config: { theme: { extend: { fontFamily: { sans: ['Inter var' '-apple-system' 'BlinkMacSystemFont' 'system-ui' 'sans-serif'] } } } }",Tailwind default font stack without -apple-system or Inter for web,SF Pro renders on Apple devices; Inter provides closest match on other platforms,critical
dark-mode-shadcn,shadcn dark class with Apple dark tokens,".dark { --background: 0 0% 0%; --foreground: 0 0% 96.1%; --card: 0 0% 7%; --primary: 211 100% 55%; --muted: 240 4% 16%; --border: 240 4% 16%; }",Relying on prefers-color-scheme only without .dark class for manual toggle support,Apple dark mode: true black #000000 background #f5f5f7 text #2997ff blue,critical
