keyword,pattern,implementation,anti_pattern,notes,priority
nuxt-font,Nuxt Font module with Inter as SF Pro fallback,"// nuxt.config.ts: modules: ['@nuxt/fonts']; fonts: { families: [{ name: 'Inter' provider: 'google' }] }; // app.vue: <style> body { font-family: 'Inter' -apple-system BlinkMacSystemFont system-ui sans-serif; } </style>",Loading fonts via <link> tag in public HTML or @import in CSS,@nuxt/fonts self-hosts and optimizes Inter eliminating layout shift matching Apple's load quality,critical
app-vue-layout,app.vue layout for consistent Apple chrome,"<!-- app.vue --> <template> <div> <TheNavbar /> <NuxtLayout> <NuxtPage /> </NuxtLayout> <TheFooter /> </div> </template>",Repeating navbar and footer markup in every page component,Single app.vue shell persists navigation between routes without remounting,critical
color-mode,useColorMode() composable for dark mode,"// nuxt.config.ts: modules: ['@nuxtjs/color-mode']; colorMode: { classSuffix: '' preference: 'system' fallback: 'light' }; // Component: const colorMode = useColorMode(); const isDark = computed(() => colorMode.value === 'dark');",JavaScript-only dark mode toggle ignoring system preference,@nuxtjs/color-mode respects prefers-color-scheme and persists preference without flash,critical
nuxt-link-transitions,NuxtLink with Apple-style transitions,"<!-- nuxt.config.ts --> app: { pageTransition: { name: 'page' mode: 'out-in' } }; /* app.css */ .page-enter-active .page-leave-active { transition: opacity 0.35s cubic-bezier(0.25 0.1 0.25 1) transform 0.35s cubic-bezier(0.25 0.1 0.25 1); } .page-enter-from { opacity: 0; transform: translateY(12px); } .page-leave-to { opacity: 0; transform: translateY(-8px); }",Hard navigation without transitions or jarring instant page swaps,Apple-caliber page transitions make the app feel continuous rather than a collection of pages,high
define-page-meta,definePageMeta for per-page layout options,"<!-- pages/landing.vue --> <script setup> definePageMeta({ layout: 'marketing' transition: { name: 'slide-left' mode: 'out-in' } }) </script>",Manually importing and wrapping layout components per page,definePageMeta is the Nuxt 3 idiomatic way to opt into layouts and transitions per route,high
use-head-apple,useHead for Apple-style metadata,"useHead({ title: 'Product – Brand' meta: [ { name: 'description' content: 'Description' } { property: 'og:image' content: '/og.jpg' } { name: 'viewport' content: 'width=device-width initial-scale=1 viewport-fit=cover' } { name: 'apple-mobile-web-app-capable' content: 'yes' } ] link: [{ rel: 'apple-touch-icon' href: '/apple-touch-icon.png' }] });",Manual <head> tags scattered across page templates,useHead is reactive and SSR-safe; viewport-fit=cover enables edge-to-edge iOS web app mode,high
server-routes,Nuxt server routes for lightweight API,"// server/api/products.get.ts export default defineEventHandler(async (event) => { const products = await fetchProducts(); return products; }); // Usage: const { data } = await useFetch('/api/products');",External Express server or heavy API framework for simple endpoints,Server routes collocate API with the Nuxt app; zero extra deployment matching Apple's tight integration,high
nuxt-image,Nuxt Image module for optimized hero images,"// nuxt.config.ts: modules: ['@nuxt/image']; // Template: <NuxtImg src='/hero.jpg' alt='Hero' width='1200' height='600' format='webp' placeholder loading='eager' fetchpriority='high' />",Static <img> src without WebP conversion or responsive sizes,@nuxt/image generates WebP srcset and blur placeholder matching Apple.com's progressive loading,critical
css-tokens,CSS custom properties in assets/css/main.css,"/* assets/css/main.css */ :root { --color-text-primary: #1d1d1f; --color-text-secondary: #86868b; --color-bg: #fbfbfd; --color-blue: #2997ff; --space-xs: 4px; --space-sm: 8px; --space-md: 16px; --space-lg: 24px; --space-xl: 48px; } [data-color-mode='dark'] { --color-bg: #000000; --color-text-primary: #f5f5f7; }",Tailwind arbitrary values or per-component hardcoded colors,Single token file ensures all Apple color and spacing values are overridable with one variable,critical
tailwind-apple,Tailwind CSS with Apple design token preset,"// tailwind.config.ts: theme: { extend: { colors: { 'apple-blue': '#2997ff' 'apple-text': '#1d1d1f' 'apple-secondary': '#86868b' 'apple-bg': '#fbfbfd' } spacing: { 'section': '80px' 'section-lg': '120px' } borderRadius: { 'apple': '12px' 'apple-lg': '18px' } } }",Default Tailwind palette without Apple color customization,Extending Tailwind with Apple tokens ensures utility classes produce HIG-compliant output,high
glass-navbar,Backdrop-filter in TheNavbar.vue component,"<template> <nav class='navbar'> <slot /> </nav> </template> <style scoped> .navbar { backdrop-filter: saturate(180%) blur(20px); background: rgba(255 255 255 / 0.72); border-bottom: 1px solid rgba(0 0 0 / 0.1); position: sticky; top: 0; z-index: 100; } </style>",Opaque background on sticky navigation bar,Apple's frosted glass nav is its most recognizable cross-platform design signature,critical
page-transitions,NuxtPage transitions with spring-like curves,"/* assets/css/transitions.css */ .page-enter-active { transition: transform 0.45s cubic-bezier(0.25 0.46 0.45 0.94) opacity 0.35s ease; } .page-leave-active { transition: transform 0.3s cubic-bezier(0.55 0 1 0.45) opacity 0.25s ease; }",Default Vue fade transition or no page transition at all,Spring-like asymmetric enter/leave curves match the feel of UIKit navigation push/pop,high
use-fetch-skeleton,useFetch with skeleton loading states,"<script setup> const { data: products pending } = await useFetch('/api/products') </script> <template> <div v-if='pending'> <div v-for='n in 6' :key='n' class='skeleton-card animate-pulse' /> </div> <ProductGrid v-else :products='products' /> </template>",Showing spinner or blank page during data fetch,Content silhouettes at correct size prevent layout shift matching Apple's iOS skeleton pattern,high
nuxt-ui-apple,Nuxt UI components customized for Apple style,"// nuxt.config.ts if using @nuxt/ui: ui: { primary: 'blue' gray: 'neutral' button: { rounded: 'rounded-xl' } card: { rounded: 'rounded-2xl' shadow: 'shadow-sm' } }",Default Nuxt UI styling without Apple-aligned customization,@nuxt/ui's headless primitives can be tuned to Apple proportions reducing custom CSS,medium
error-page,error.vue with clean Apple error design,"<!-- error.vue --> <script setup> const props = defineProps(['error']); </script> <template> <main class='error-page'> <h1 class='error-title'>Something went wrong</h1> <p class='error-message'>{{ error.statusMessage }}</p> <NuxtLink to='/' class='btn-primary'>Go home</NuxtLink> </main> </template>",Exposing raw stack traces or using default browser error page,Clean minimal error pages match Apple's principle of calm humane technology,medium
nuxt-plugin,defineNuxtPlugin for global Apple theme initialization,"// plugins/apple-theme.client.ts export default defineNuxtPlugin(() => { const root = document.documentElement; root.style.setProperty('--color-blue' '#2997ff'); // Set initial theme from OS const isDark = matchMedia('(prefers-color-scheme: dark)').matches; root.setAttribute('data-color-mode' isDark ? 'dark' : 'light'); });",Initializing theme in onMounted of individual components,Client-only plugin runs once before app mounts preventing flash of wrong theme,critical
middleware-redirect,Middleware for route guards with Apple-style redirects,"// middleware/auth.ts export default defineNuxtRouteMiddleware((to) => { const { loggedIn } = useAuth(); if (!loggedIn.value && to.path !== '/login') { return navigateTo('/login'); } });",Client-side router guards in component onMounted,Nuxt middleware runs server-side preventing unauthorized page flash before redirect,high
color-mode-config,prefers-color-scheme in nuxt.config.ts colorMode,"// nuxt.config.ts colorMode: { preference: 'system' fallback: 'light' classSuffix: '' storageKey: 'color-mode' }",Defaulting to light mode and ignoring system preference,System preference as default respects user's OS-level accessibility and battery settings,critical
apple-spacing-tailwind,Apple spacing scale in tailwind.config.ts,"// tailwind.config.ts spacing: { '0': '0' '1': '4px' '2': '8px' '3': '12px' '4': '16px' '5': '20px' '6': '24px' '8': '32px' '10': '40px' '12': '48px' '16': '64px' }",Default Tailwind spacing scale without Apple grid alignment,Apple's 4pt-base grid maps cleanly to these spacing values for pixel-perfect HIG layouts,high
section-padding,Section components with generous vertical padding,"<section class='py-20 md:py-[120px]'> <div class='max-w-[980px] mx-auto px-5'> <slot /> </div> </section>",Tight sections with small vertical padding or full-bleed text,Apple uses 80–120px vertical breathing room between major content sections as core design language,high
