keyword,pattern,implementation,anti_pattern,notes,priority
composition-api,Composition API with setup script,"<script setup> import { ref computed } from 'vue'; const isDark = ref(false); const bgColor = computed(() => isDark.value ? '#000000' : '#fbfbfd'); </script>",Options API with data()/methods() for new components,setup script syntax is terser and matches Apple's preference for clean declarative code,critical
css-variables,CSS custom properties for Apple design tokens,":root { --space-xs: 4px; --space-sm: 8px; --space-md: 16px; --space-lg: 24px; --space-xl: 32px; --space-2xl: 48px; --color-text-primary: #1d1d1f; --color-bg: #fbfbfd; }",Hardcoded pixel values scattered across component styles,Single source of truth for spacing and color tokens in :root,critical
v-bind-css,v-bind in CSS for dynamic Apple color tokens,"<script setup> const accentColor = ref('#2997ff'); </script> <style> .btn { background: v-bind(accentColor); } </style>",Inline style bindings that bypass Vue's reactivity for dynamic tokens,v-bind in style blocks keeps dynamic tokens reactive without extra class juggling,high
vue-transition,Transition component with spring-like cubic-bezier,"<Transition name='slide-up'> <div v-if='visible'>content</div> </Transition> <style> .slide-up-enter-active { transition: all 0.45s cubic-bezier(0.25 0.46 0.45 0.94); } .slide-up-leave-active { transition: all 0.3s cubic-bezier(0.55 0 1 0.45); } </style>",CSS ease-in-out transitions or no transition on modal/panel reveals,Apple-matched spring-like cubic-bezier curves for enter/leave transitions,critical
teleport-modal,Teleport for modal sheets and popovers,"<Teleport to='body'> <div v-if='showModal' class='sheet-overlay'> <div class='sheet' role='dialog' aria-modal='true'>{{ content }}</div> </div> </Teleport>",Rendering modals inline inside deeply nested component trees,Teleport ensures sheet overlays render at body level avoiding z-index and overflow issues,high
define-props,defineProps for typed component API,"const props = defineProps<{ title: string; subtitle?: string; size?: 'sm' | 'md' | 'lg'; }>(); const emit = defineEmits<{ (e: 'close'): void; (e: 'confirm', value: string): void; }>();",Untyped props with no defaults matching Apple's precise component APIs,TypeScript-typed props and emits make component contracts explicit and refactor-safe,high
pinia-theme,Pinia store for Apple theme state,"import { defineStore } from 'pinia'; export const useThemeStore = defineStore('theme' () => { const isDark = ref(false); const accentColor = ref('#2997ff'); function toggleDark() { isDark.value = !isDark.value; } return { isDark accentColor toggleDark }; });",Prop-drilling theme values through component trees,Pinia gives a single reactive source for dark mode and accent color accessible anywhere,critical
color-mode,useColorMode composable for system theme detection,"import { usePreferredColorScheme } from '@vueuse/core'; const colorScheme = usePreferredColorScheme(); watchEffect(() => { document.documentElement.setAttribute('data-theme' colorScheme.value); });",Polling document.documentElement for theme or JS-only toggle,VueUse usePreferredColorScheme reacts to OS-level dark mode changes without polling,critical
font-stack,-apple-system font stack in global styles,"body { font-family: -apple-system BlinkMacSystemFont 'Inter' 'Segoe UI' system-ui sans-serif; -webkit-font-smoothing: antialiased; -moz-osx-font-smoothing: grayscale; }",font-family: Arial or Helvetica in component scoped styles,SF Pro renders on Apple devices; Inter on others giving near-native typographic quality,critical
backdrop-filter,Frosted glass navigation,"nav { backdrop-filter: saturate(180%) blur(20px); background: rgba(255 255 255 / 0.72); border-bottom: 1px solid rgba(0 0 0 / 0.1); position: sticky; top: 0; z-index: 100; }",Opaque solid background on navigation bar,Apple's signature frosted glass nav replicates material translucency on the web,critical
apple-spacing-scale,Apple spacing scale CSS variables,":root { --space-xs: 4px; --space-sm: 8px; --space-md: 16px; --space-lg: 24px; --space-xl: 32px; --space-2xl: 40px; --space-3xl: 48px; --space-4xl: 64px; }",Ad-hoc margin/padding values without a defined scale,Consistent spatial rhythm derived from Apple's 8pt grid,high
touch-targets,44px minimum touch targets on interactive elements,"button a [role='button'] { min-height: 44px; min-width: 44px; touch-action: manipulation; display: inline-flex; align-items: center; justify-content: center; }",Small icon-only buttons without sufficient padding,Meets Apple HIG minimum tap target; touch-action: manipulation removes 300ms delay,critical
dark-mode-query,prefers-color-scheme for system dark mode,"@media (prefers-color-scheme: dark) { :root { --color-bg: #000000; --color-text-primary: #f5f5f7; --color-text-secondary: #a1a1a6; } }",JavaScript-only dark mode toggle that ignores system preference,System-level dark mode without JS dependency prevents flash of wrong theme,critical
reduced-motion,prefers-reduced-motion in Vue transitions,"@media (prefers-reduced-motion: reduce) { .slide-up-enter-active .slide-up-leave-active { transition-duration: 0.01ms !important; } }",No animation preference handling in Vue transition styles,Respects iOS Reduce Motion accessibility setting for users with vestibular disorders,critical
